date,day_of_week,month,is_weekend,week_of_year,quarter,temperature,humidity,humidity_drop,rainfall,festival,festival_name,festival_intensity,respiratory_alert,baseline_patients,actual_patients,surge_risk,risk_score
2021-01-01,4,1,0,53,1,15.3,46.1,-0.0,0.0,0,None,0.0,0,106,117,LOW,2.3
2021-01-02,5,1,1,53,1,14.0,44.1,2.0,0.0,0,None,0.0,1,109,144,MEDIUM,36.5
2021-01-03,6,1,1,53,1,15.2,46.8,0.0,0.0,0,None,0.0,1,108,135,MEDIUM,35.3
2021-01-04,0,1,0,1,1,16.3,50.1,0.0,0.0,0,None,0.0,0,109,130,LOW,24.1
2021-01-05,1,1,0,1,1,13.5,49.2,0.9,0.0,0,None,0.0,1,108,139,MEDIUM,26.8
2021-01-06,2,1,0,1,1,12.4,44.6,4.5,0.0,0,None,0.0,0,112,139,LOW,19.9
2021-01-07,3,1,0,1,1,13.3,41.7,2.9,0.0,0,None,0.0,0,107,122,LOW,6.5
2021-01-08,4,1,0,1,1,13.5,39.7,2.0,0.0,0,None,0.0,1,109,138,HIGH,28.2
2021-01-09,5,1,1,1,1,13.9,37.5,2.2,0.0,0,None,0.0,1,112,143,MEDIUM,32.0
2021-01-10,6,1,1,1,1,13.2,41.9,0.0,2.2,0,None,0.0,0,111,124,LOW,11.9
2021-01-11,0,1,0,2,1,14.8,47.5,0.0,0.0,0,None,0.0,0,107,132,MEDIUM,8.6
2021-01-12,1,1,0,2,1,15.8,47.5,0.0,0.0,0,None,0.0,0,116,137,LOW,15.1
2021-01-13,2,1,0,2,1,15.6,40.7,6.8,0.0,1,Makara Sankranti,0.45,1,108,153,HIGH,52.1
2021-01-14,3,1,0,2,1,16.8,42.8,0.0,0.0,1,Makara Sankranti,0.6,0,110,142,LOW,28.4
2021-01-15,4,1,0,2,1,16.8,44.2,0.0,0.0,1,Makara Sankranti,0.45,0,109,130,LOW,15.9
2021-01-16,5,1,1,2,1,15.2,51.8,0.0,0.0,0,None,0.0,0,109,118,LOW,10.5
2021-01-17,6,1,1,2,1,15.6,45.7,6.1,0.0,0,None,0.0,1,111,134,HIGH,29.5
2021-01-18,0,1,0,3,1,14.3,45.3,0.5,0.0,0,None,0.0,1,111,155,MEDIUM,43.6
2021-01-19,1,1,0,3,1,15.5,51.3,0.0,0.0,0,None,0.0,0,109,133,LOW,29.1
2021-01-20,2,1,0,3,1,15.3,51.1,0.2,0.0,0,None,0.0,0,108,119,LOW,4.8
2021-01-21,3,1,0,3,1,15.0,51.4,0.0,0.0,0,None,0.0,0,107,121,LOW,2.0
2021-01-22,4,1,0,3,1,14.2,50.2,1.2,0.0,0,None,0.0,0,106,124,LOW,13.0
2021-01-23,5,1,1,3,1,15.9,50.1,0.1,0.0,0,None,0.0,0,107,120,LOW,10.2
2021-01-24,6,1,1,3,1,15.4,51.4,0.0,0.0,0,None,0.0,0,111,115,LOW,11.8
2021-01-25,0,1,0,4,1,14.8,47.4,4.0,0.0,0,None,0.0,1,110,154,HIGH,47.2
2021-01-26,1,1,0,4,1,14.4,50.1,0.0,0.0,0,None,0.0,0,107,136,LOW,29.5
2021-01-27,2,1,0,4,1,15.2,44.9,5.1,0.0,0,None,0.0,1,105,148,HIGH,48.5
2021-01-28,3,1,0,4,1,15.6,46.9,0.0,16.8,0,None,0.0,1,112,150,MEDIUM,43.3
2021-01-29,4,1,0,4,1,15.9,47.7,0.0,0.0,0,None,0.0,1,114,159,HIGH,49.3
2021-01-30,5,1,1,4,1,16.2,45.8,1.9,0.0,0,None,0.0,0,111,129,LOW,22.3
2021-01-31,6,1,1,4,1,18.4,46.4,0.0,0.0,0,None,0.0,0,111,127,LOW,11.3
2021-02-01,0,2,0,5,1,18.2,35.8,10.6,0.0,0,None,0.0,1,109,140,LOW,24.9
2021-02-02,1,2,0,5,1,17.0,33.6,2.2,0.0,0,None,0.0,1,110,138,MEDIUM,33.9
2021-02-03,2,2,0,5,1,15.9,34.4,0.0,0.0,0,None,0.0,0,108,117,LOW,8.2
2021-02-04,3,2,0,5,1,16.7,32.7,1.8,0.0,0,None,0.0,1,106,128,LOW,20.6
2021-02-05,4,2,0,5,1,18.0,35.9,0.0,0.0,0,None,0.0,0,108,118,LOW,5.9
2021-02-06,5,2,1,5,1,17.3,33.4,2.5,0.0,0,None,0.0,0,112,112,LOW,5.6
2021-02-07,6,2,1,5,1,16.0,37.5,0.0,0.0,0,None,0.0,0,108,101,LOW,4.6
2021-02-08,0,2,0,6,1,15.1,34.3,3.2,0.0,0,None,0.0,1,110,135,LOW,35.6
2021-02-09,1,2,0,6,1,16.3,34.2,0.1,0.0,0,None,0.0,0,108,116,LOW,4.9
2021-02-10,2,2,0,6,1,17.2,34.0,0.2,0.0,0,None,0.0,0,113,119,LOW,14.9
2021-02-11,3,2,0,6,1,17.6,39.7,0.0,0.0,0,None,0.0,0,113,111,LOW,1.5
2021-02-12,4,2,0,6,1,16.4,40.2,0.0,0.0,0,None,0.0,0,111,110,LOW,0.0
2021-02-13,5,2,1,6,1,16.7,38.8,1.4,0.0,0,None,0.0,0,109,111,LOW,7.9
2021-02-14,6,2,1,6,1,16.7,40.1,0.0,0.0,0,None,0.0,1,106,126,MEDIUM,36.5
2021-02-15,0,2,0,7,1,16.9,33.1,7.0,29.4,0,None,0.0,0,110,138,MEDIUM,39.6
2021-02-16,1,2,0,7,1,17.8,35.1,0.0,0.0,0,None,0.0,1,110,141,MEDIUM,41.6
