date,day_of_week,month,is_weekend,day_of_year,rainfall,humidity,temperature,humidity_drop,festival,festival_name,respiratory_alert,actual_patients,baseline_patients
2023-01-01,6,1,1,1,0.0,52.483570765056164,27.94780247960799,0,0,None,0.0,93,110
2023-01-02,0,1,0,2,0.0,59.93731356277662,28.650461335147803,0,0,None,0.0,110,110
2023-01-03,1,1,0,3,0.0,74.88352679009229,29.40925042984563,0,0,None,0.0,104,110
2023-01-04,2,1,0,4,0.0,67.07231468790089,27.55625742324438,0,0,None,0.0,111,110
2023-01-05,3,1,0,5,0.0,69.62427429541036,25.559903626700535,0,0,None,0.0,112,110
2023-01-06,4,1,0,6,0.0,73.00708026383872,26.229694490813383,0,0,None,0.0,112,110
2023-01-07,5,1,1,7,0.0,65.06129567516169,26.482584672493825,0,0,None,0.0,103,110
2023-01-08,6,1,1,8,0.0,64.86488433041109,29.582974560935234,0,0,None,0.0,99,110
2023-01-09,0,1,0,9,0.0,65.2510632434563,28.937927987886205,0,0,None,0.0,123,110
2023-01-10,1,1,0,10,0.0,65.0489433981617,30.277625452477345,0,0,None,0.0,137,110
2023-01-11,2,1,0,11,0.0,65.00125561848535,31.719550825979628,0,0,None,0.0,142,110
2023-01-12,3,1,0,12,0.0,65.33200710448463,29.017230705862907,0,0,None,1.0,173,110
2023-01-13,4,1,0,13,0.0,72.17912598141287,27.278342090064292,0,0,None,1.0,175,110
2023-01-14,5,1,1,14,0.0,83.32739040404478,30.983823416453227,0,0,None,0.0,121,110
2023-01-15,6,1,1,15,0.0,75.357810980786,29.53381889736589,0,0,None,0.0,105,110
2023-01-16,0,1,0,16,0.0,65.02613548183166,26.984849467365194,0,0,None,0.0,117,110
2023-01-17,1,1,0,17,0.0,65.70203324156739,31.028095503731418,0,0,None,0.0,115,110
2023-01-18,2,1,0,18,0.0,62.48764512490564,29.726249447223477,0,0,None,0.0,121,110
2023-01-19,3,1,0,19,0.0,64.11291902345134,30.523862741723125,0,0,None,0.0,122,110
2023-01-20,4,1,0,20,42.24741943715315,94.1012911357466,26.85979273292955,0,0,None,0.0,138,110
2023-01-21,5,1,1,21,0.0,72.78442877662646,28.83316451840442,1,0,None,0.0,113,110
2023-01-22,6,1,1,22,0.0,71.21320291234312,31.311940405136905,0,0,None,0.0,95,110
2023-01-23,0,1,0,23,0.0,68.35397997611535,29.312742068188584,0,0,None,1.0,134,110
2023-01-24,1,1,0,24,0.0,72.73342510719407,32.0417999888861,0,0,None,1.0,147,110
2023-01-25,2,1,0,25,0.0,64.3575356388614,29.97226239551931,0,0,None,0.0,140,110
2023-01-26,3,1,0,26,0.0,69.67848515531435,32.47093281245111,0,0,None,0.0,111,110
2023-01-27,4,1,0,27,0.0,85.79717829919623,28.86056050110099,0,0,None,0.0,125,110
2023-01-28,5,1,1,28,0.0,72.59467100103011,29.86924032881545,0,0,None,1.0,128,110
2023-01-29,6,1,1,29,0.0,74.03659665333524,30.422169697172166,0,0,None,0.0,115,110
2023-01-30,0,1,0,30,0.0,77.19678955437462,29.691472423389417,0,0,None,1.0,165,110
2023-01-31,1,1,0,31,0.0,69.37855080231678,29.903051528200937,0,0,None,0.0,160,110
2023-02-01,2,2,0,32,0.0,73.45272074897373,31.11020470131728,0,0,None,0.0,166,110
2023-02-02,3,2,0,33,0.0,76.54985481754363,30.953355798623747,0,0,None,0.0,143,110
2023-02-03,4,2,0,34,0.0,66.79970549412197,30.270683345941443,0,0,None,0.0,137,110
2023-02-04,5,2,1,35,0.0,74.72860919952217,30.395579775217158,0,0,None,0.0,115,110
2023-02-05,6,2,1,36,0.0,69.97128912311675,30.55212066720628,0,0,None,0.0,107,110
2023-02-06,0,2,0,37,0.0,67.01667556672189,30.539928150098902,0,0,None,0.0,137,110
2023-02-07,1,2,0,38,0.0,67.59690655501434,31.648460635797438,0,0,None,0.0,146,110
2023-02-08,2,2,0,39,0.0,63.80409726866656,33.21617185019328,0,0,None,0.0,156,110
2023-02-09,3,2,0,40,0.0,58.16696337723811,31.137390691277062,0,0,None,0.0,154,110
2023-02-10,4,2,0,41,0.0,67.14513108819595,30.59423388435289,0,0,None,0.0,136,110
2023-02-11,5,2,1,42,0.0,67.46722139373358,31.76049410471181,0,0,None,0.0,105,110
2023-02-12,6,2,1,43,0.0,70.19254909967994,31.361147869247866,0,0,None,0.0,96,110
2023-02-13,0,2,0,44,0.0,74.7526238925111,32.5631633851485,0,0,None,0.0,122,110
2023-02-14,1,2,0,45,0.0,65.94138556175376,33.57331521365725,0,0,None,0.0,143,110
2023-02-15,2,2,0,46,0.0,71.12256258135211,34.84396655012384,0,0,None,0.0,141,110
2023-02-16,3,2,0,47,0.0,66.75735010525379,33.00296410399249,0,0,None,0.0,150,110
2023-02-17,4,2,0,48,0.0,68.84972684648896,30.92187163364563,0,0,None,0.0,152,110
2023-02-18,5,2,1,49,0.0,68.81566709799849,31.186551493233964,0,0,None,0.0,133,110
2023-02-19,6,2,1,50,0.0,63.45161485096917,32.501917688345586,0,0,None,0.0,111,110
2023-02-20,0,2,0,51,0.0,70.79306405000251,31.605668069125095,0,0,None,0.0,119,110
2023-02-21,1,2,0,52,0.0,65.24234634831932,31.418386981045362,0,0,None,0.0,137,110
2023-02-22,2,2,0,53,0.0,66.2647441408229,32.788910981584834,0,0,None,0.0,139,110
2023-02-23,3,2,0,54,0.0,69.39024850118523,33.96751957229703,0,0,None,0.0,133,110
2023-02-24,4,2,0,55,0.0,67.25559491109257,31.74889521939355,0,0,None,0.0,134,110
2023-02-25,5,2,1,56,0.0,69.75053295346063,33.28011707417804,0,1,Local Festival,0.0,153,110
2023-02-26,6,2,1,57,0.0,75.44709066201457,30.855133897754712,0,0,None,0.0,126,110
2023-02-27,0,2,0,58,0.0,71.34188238413229,32.722764342417854,0,0,None,0.0,147,110
2023-02-28,1,2,0,59,0.0,70.39981782432083,33.520187606502596,0,0,None,0.0,141,110
2023-03-01,2,3,0,60,2.674922535898733,71.2915898927709,30.201045199250284,0,0,None,1.0,173,110
2023-03-02,3,3,0,61,0.0,63.301800492540934,33.32211218659873,0,0,None,0.0,181,110
2023-03-03,4,3,0,62,0.0,63.90446297518855,30.683816446040417,0,0,None,0.0,162,110
2023-03-04,5,3,1,63,0.0,72.59777324125932,33.039508940121564,0,0,None,0.0,138,110
2023-03-05,6,3,1,64,0.0,65.181349198355,32.678699510940206,0,0,None,0.0,133,110
2023-03-06,0,3,0,65,0.0,63.58869769154339,31.274438920813058,0,0,None,0.0,134,110
2023-03-07,1,3,0,66,0.0,72.11110727926315,32.175677301722466,0,0,None,0.0,161,110
2023-03-08,2,3,0,67,0.0,69.48723091524216,34.75094105666264,0,0,None,0.0,141,110
2023-03-09,3,3,0,68,0.0,61.865419847140686,32.553061954440956,0,0,None,0.0,147,110
2023-03-10,4,3,0,69,0.0,62.01862147912257,33.36141704076076,0,0,None,0.0,141,110
2023-03-11,5,3,1,70,0.0,66.78306235141622,33.779697371036235,0,1,Local Festival,0.0,166,110
2023-03-12,6,3,1,71,0.0,64.12264387994121,30.42700945268068,0,0,None,0.0,137,110
2023-03-13,0,3,0,72,0.0,63.19429567993085,31.958533960682278,0,0,None,0.0,117,110
2023-03-14,1,3,0,73,0.0,68.50476376524207,33.33325865106902,0,0,None,0.0,142,110
2023-03-15,2,3,0,74,0.0,69.85572136777408,31.567768795873985,0,0,None,0.0,161,110
2023-03-16,3,3,0,75,0.0,69.26218786578481,31.09119347261557,0,0,None,0.0,165,110
2023-03-17,4,3,0,76,0.0,73.21467336145923,34.42799750442089,0,0,None,0.0,174,110
2023-03-18,5,3,1,77,0.0,62.75458783250639,31.443582049384855,0,0,None,0.0,137,110
2023-03-19,6,3,1,78,0.0,69.07316316585555,33.25631351233226,0,0,None,0.0,112,110
2023-03-20,0,3,0,79,0.0,71.38987106470135,38.66833894351036,0,0,None,0.0,123,110
2023-03-21,1,3,0,80,0.0,75.9323808528007,34.388836267114215,0,0,None,0.0,142,110
2023-03-22,2,3,0,81,0.0,68.61012994735842,34.060822914500356,0,0,None,0.0,161,110
2023-03-23,3,3,0,82,0.0,69.54713998001839,31.652853835225876,0,0,None,0.0,168,110
2023-03-24,4,3,0,83,0.0,80.48272082937122,30.148764686549146,0,1,Local Festival,0.0,201,110
2023-03-25,5,3,1,84,0.0,69.0238851389248,33.08140911590088,0,0,None,0.0,162,110
2023-03-26,6,3,1,85,0.0,66.44511769883779,34.60451542992081,0,0,None,0.0,159,110
2023-03-27,0,3,0,86,0.0,76.09092424543195,33.172421480842516,0,0,None,1.0,168,110
2023-03-28,1,3,0,87,0.0,66.5663516905007,33.31131274991374,0,0,None,0.0,162,110
2023-03-29,2,3,0,88,0.0,80.25845012506245,35.75729774325862,0,0,None,0.0,150,110
2023-03-30,3,3,0,89,0.0,60.925977091724455,33.27593152835256,1,0,None,0.0,156,110
2023-03-31,4,3,0,90,0.0,64.96270169724897,30.495143971263655,0,0,None,0.0,162,110
2023-04-01,5,4,1,91,0.0,70.51747673435207,34.298586489936135,0,0,None,0.0,139,110
2023-04-02,6,4,1,92,0.0,67.43225989111858,32.522812933507815,0,0,None,0.0,136,110
2023-04-03,0,4,0,93,0.0,77.31372317962919,33.60520396987822,0,0,None,0.0,160,110
2023-04-04,1,4,0,94,0.0,72.3492259632279,35.4714250576444,0,0,None,0.0,151,110
2023-04-05,2,4,0,95,0.0,61.872995362875514,32.263234695027585,0,0,None,0.0,158,110
2023-04-06,3,4,0,96,0.0,66.18763926654177,35.79130302947931,0,0,None,0.0,161,110
